exchangeId,name,rank,percentTotalVolume,volumeUsd,tradingPairs,socket,exchangeUrl,updated
binance,Binance,1,31.767322912692334831000000000000000000,9169842505.0113551143241888,555,True,https://www.binance.com/,1730290585208
crypto,Crypto.com Exchange,2,9.656763325468155697000000000000000000,2787486973.5193511940945919,107,False,https://api.crypto.com/,1730290585161
gdax,Coinbase Pro,3,9.388289905701231378000000000000000000,2709990390.5428585234446495,211,True,https://pro.coinbase.com/,1730290581650
digifinex,DigiFinex,4,8.147650599071340248000000000000000000,2351871858.5346976698508134,120,False,https://www.digifinex.com/,1730290584085
whitebit,WhiteBIT,5,6.206453382010715884000000000000000000,1791532770.4555993946698219,103,False,https://whitebit.com,1730290581949
gate,Gate,6,4.539206857584686192000000000000000000,1310271315.4682819696867115,1088,False,https://gate.io/,1730290585091
kraken,Kraken,7,3.529929272132809097000000000000000000,1018936835.4471739298398249,322,False,https://kraken.com,1730290583688
lbank,LBank,8,3.505841413083356060000000000000000000,1011983719.6818493800288829,114,False,https://www.lbank.info,1730290576524
huobi,Huobi,9,3.172837937494466763000000000000000000,915860120.1842198404462754,198,True,https://www.hbg.com/,1730290570170
bitmax,AscendEX (Bitmax),10,2.921630614937632555000000000000000000,843347507.4506047671030413,137,False,https://www.bitmax.io/,1730290585197
bigone,BigONE,11,2.282300756988533988000000000000000000,658800823.3545965532570233,61,False,https://big.one/,1730290578731
kucoin,Kucoin,12,1.989115186079083213000000000000000000,574170918.6764358610762881,525,False,https://www.kucoin.io/,1730290585167
currency-com,Currency.com,13,1.514319609219633555000000000000000000,437118115.2707813301310032,40,False,https://currency.com/,1730290584746
tidex,Tidex,14,1.483563917974382122000000000000000000,428240286.7667297080109635,26,False,https://tidex.com/,1730290583921
probit,ProBit,15,1.416529551344724174000000000000000000,408890384.7902066315622703,309,False,https://www.probit.com/en-us/,1730290582919
bitstamp,Bitstamp,16,1.274527731915358312000000000000000000,367900644.3839701695434583,90,True,https://www.bitstamp.net/,1730290584706
bitfinex,Bitfinex,17,1.010724823711363262000000000000000000,291752234.6724265688393898,165,True,https://bitfinex.com,1730290556686
yobit,YoBit,18,0.794914229421734686000000000000000000,229457115.6915908734931332,11,False,https://yobit.net,1730290576341
dex-trade,Dex-Trade,19,0.746929369692435040000000000000000000,215605976.6594461074598969,78,False,https://dex-trade.com/,1730290577334
uniswap-42161-univ3,UNISWAP UNIV3 (Arbitrum),20,0.587196570586414635000000000000000000,169498074.6901048771256379,4,True,https://uniswap.org/,1730290571694
gemini,Gemini,21,0.523256436685702476000000000000000000,151041342.9336933590346688,58,True,https://gemini.com/,1730290517363
hitbtc,HitBTC,22,0.496386924809786502000000000000000000,143285285.1517441219869728,250,True,https://hitbtc.com/,1730290550023
bibox,Bibox,23,0.494463963068003124000000000000000000,142730209.8511348065401057,129,False,https://www.bibox.com,1730290519815
coincheck,coincheck,24,0.404747715377084942000000000000000000,116833036.7173668115344436,1,False,coincheck,1730290567753
btcturk,BTCTurk,25,0.240019835903477083000000000000000000,69283272.6057060411468625,85,False,https://www.btcturk.com/,1730290526965
independentreserve,Independent Reserve,26,0.234516142385865873000000000000000000,67694595.9995264653909483,93,False,https://www.independentreserve.com/,1730290584149
uniswap-8453-univ3,UNISWAP UNIV3 (Base),27,0.178812548244984858000000000000000000,51615394.5308100189351456,2,True,https://uniswap.org/,1730290564659
pancake-42161-univ3,PANCAKE UNIV3 (Arbitrum),28,0.177848645422030758000000000000000000,51337157.7684326180886753,3,True,https://pancakeswap.finance/,1730290580159
bitkub,Bitkub,29,0.150739174479607225000000000000000000,43511834.2553554765108297,43,False,https://www.bitkub.com/,1730290558530
exmo,Exmo,30,0.146652399403304863000000000000000000,42332160.2895607193781923,112,False,https://www.exmo.com/,1730290560368
alterdice,Alterdice,31,0.139393196983346981000000000000000000,40236744.7241397073800082,1,False,https://alterdice.com/,1730290584655
uniswap-1-univ3,UNISWAP UNIV3 (Ethereum),32,0.105628411187161238000000000000000000,30490321.6837908202300947,2,True,https://uniswap.org/,1730290037482
bitbank,Bitbank,33,0.092657893385606389000000000000000000,26746298.1229894883146574,4,False,https://www.bibank.com,1730290554245
bitso,Bitso,34,0.082519525121769738000000000000000000,23819792.7799773042099406,27,True,https://www.bitso.com/,1730290529343
itbit,Itbit,35,0.072192901051102663000000000000000000,20838946.1849800774000000,5,False,https://www.itbit.com/,1730290579069
pancake-8453-univ3,PANCAKE UNIV3 (Base),36,0.069776976657823111000000000000000000,20141574.0377810660329968,1,True,https://pancakeswap.finance/,1730290585160
indodax,Indodax,37,0.051585837397948770000000000000000000,14890584.4451664105514166,154,False,https://indodax.com/,1730290561048
max-exchange,Max,38,0.048358193615436098000000000000000000,13958904.2645838936374545,22,False,https://max.maicoin.com/,1730290560643
uniswap-10-univ3,UNISWAP UNIV3 (Optimism),39,0.044043790005679741000000000000000000,12713523.8554997061191861,2,True,https://uniswap.org/,1730290574219
binanceus,Binance.US,40,0.041421371271810796000000000000000000,11956545.7859954074276112,45,False,https://www.binance.us/,1730290561815
btcmarket,BTCMarket,41,0.038053203544319824000000000000000000,10984302.4629921279857801,6,False,https://www.btcmarkets.net/,1730290574959
kickex,KickEX,42,0.036593967066562802000000000000000000,10563084.4486389838627241,34,False,https://kickex.com,1730265098644
luno,Luno,43,0.033813117216313253000000000000000000,9760374.2162736211251641,24,True,https://www.luno.com/,1730290570052
pancake-1-univ3,PANCAKE UNIV3 (Ethereum),44,0.033144941867490303000000000000000000,9567501.0953223600389519,1,True,https://pancakeswap.finance/,1730290546553
sushi-42161-univ3,SUSHI UNIV3 (Arbitrum),45,0.028437313669882054000000000000000000,8208613.8745496374900780,2,True,https://sushi.com/,1730290553449
uniswap-1-univ2,UNISWAP UNIV2 (Ethereum),46,0.027283707294141267000000000000000000,7875617.9589859286674898,4,True,https://uniswap.org/,1730290573376
mercatox,Mercatox,47,0.021689059186856236000000000000000000,6260686.7242778775117929,57,False,https://mercatox.com/,1730290542849
uniswap-137-univ3,UNISWAP UNIV3 (Polygon),48,0.018689286697170052000000000000000000,5394783.0610422898333276,3,True,https://uniswap.org/,1730290557959
sushi-8453-univ3,SUSHI UNIV3 (Base),49,0.013180117654393956000000000000000000,3804525.9092330989160770,1,True,https://sushi.com/,1730290553481
coinmate,Coinmate,50,0.0056540979181742049419000000000000000000,1632091.8057862214043934,3,True,https://coinmate.io/,1730290554915
paribu,Paribu,51,0.0048726760742317872058000000000000000000,1406529.3541241514507069,9,False,https://www.paribu.com/,1730290569069
btcbox,BTCBOX,52,0.0033267747287583905837000000000000000000,960294.9671335989882114,1,False,https://www.btcbox.co.jp,1730290557291
uniswap-8453-univ2,UNISWAP UNIV2 (Base),53,0.0015090099889126999914000000000000000000,435585.4591477015396040,1,True,https://uniswap.org/,1730290535661
gopax,GOPAX,54,0.0008686394941153162686000000000000000000,250738.3885183391518807,30,False,https://www.gopax.co.kr/,1730290583284
sushi-10-univ3,SUSHI UNIV3 (Optimism),55,0.0008679907760466509654000000000000000000,250551.1318667111594072,2,True,https://sushi.com/,1730290181424
sushi-1-univ2,SUSHI UNIV2 (Ethereum),56,0.0003151155088712425591000000000000000000,90960.1226133319037270,2,True,https://sushi.com/,1730289794937
cex,Cex,57,0.0003149049300612365829000000000000000000,90899.3376826043601647,65,False,https://www.cex.io/,1730290545264
shibaswap-1-univ2,SHIBASWAP UNIV2 (Ethereum),58,0.0000476331464282051769000000000000000000,13749.6147209266704617,1,True,https://shibaswap.com/,1730285545786
pancake-1-univ2,PANCAKE UNIV2 (Ethereum),59,0.0000462135027790715967000000000000000000,13339.8254317387752082,1,True,https://pancakeswap.finance/,1730290561697
sushi-137-univ3,SUSHI UNIV3 (Polygon),60,0.0000415868884260077980000000000000000000,12004.3233793429973045,1,True,https://sushi.com/,1730290179784
btctradeua,BTC Trade UA,61,0.0000400282987985908872000000000000000000,11554.4264379911291806,5,False,https://btc-trade.com.ua/,1730290547571
quickswap-137-univ2,QUICKSWAP UNIV2 (Polygon),62,0.0000383220227822865120000000000000000000,11061.8988686208445209,3,True,https://quickswap.exchange/,1730290337698
sushi-42161-univ2,SUSHI UNIV2 (Arbitrum),63,0.0000339142797055710144000000000000000000,9789.5754208087992519,3,True,https://sushi.com/,1730290567292
uniswap-42161-univ2,UNISWAP UNIV2 (Arbitrum),64,0.0000229549487900123201000000000000000000,6626.0939171211479495,2,True,https://uniswap.org/,1730290553416
sushi-137-univ2,SUSHI UNIV2 (Polygon),65,0.0000225665852814063088000000000000000000,6513.9902872874899167,2,True,https://sushi.com/,1730289955268
raydium-900,RAYDIUM (Solana),66,0.0000216089373137780068000000000000000000,6237.5590292135782557,1,True,https://curve.fi/,1730290497909
sushi-8453-univ2,SUSHI UNIV2 (Base),67,0.00000060980838654248880492000000000000000000,176.0251211031552961,1,True,https://sushi.com/,1730287674984
camelot-42161-univ2,CAMELOT UNIV2 (Arbitrum),68,0.00000033614869209816695201000000000000000000,97.0314865145337708,2,True,https://camelot.exchange/,1730289917307
uniswap-10-univ2,UNISWAP UNIV2 (Optimism),69,0.00000029036300083105618345000000000000000000,83.8151516330466881,1,True,https://uniswap.org/,1730289955378
pancake-8453-univ2,PANCAKE UNIV2 (Base),70,0.00000010117918597757183688000000000000000000,29.2060241509647157,1,True,https://pancakeswap.finance/,1730290553476
uniswap-137-univ2,UNISWAP UNIV2 (Polygon),71,0.00000005203637327437692473000000000000000000,15.0206345296843225,1,True,https://uniswap.org/,1730282647360
pancake-42161-univ2,PANCAKE UNIV2 (Arbitrum),72,0.00000000866983014954647861000000000000000000,2.5026023513229812,1,True,https://pancakeswap.finance/,1730290553485
curve-1,CURVE (Ethereum),99,,,0,,https://curve.fi/,1729009345822
cointiger,CoinTiger,101,,,0,,https://www.cointiger.com/,1707114784242
coinex,CoinEx,102,,,0,,https://www.coinex.com/,1724771788838
sushi-1-univ3,SUSHI UNIV3 (Ethereum),92,,,0,,https://sushi.com/,1728903529655
aerodrome-8453-univ3,AERODROME UNIV3 (Base),103,,,0,,https://aerodrome.io/,0
coinbene,Coinbene,104,,,0,,https://www.coinbene.com,0
blockchain-com,Blockchain.com,105,,,0,,https://blockchain.com/,0
bkex,Bkex,106,,,0,,https://www.bkex.com/,0
bittrex,Bittrex,107,,,0,,https://bittrex.com/,0
bitrue,Bitrue,108,,,0,,https://www.bitrue.com/,1724869987486
bitpanda-pro,Bitpanda Pro,109,,,0,,https://www.bitpanda.com/en/pro,1704192020599
bithumbglobal,Bithumb Global,110,,,0,,https://www.bithumb.pro/,1692326335935
uniswap-v3,Uniswap (V3),111,,,0,,https://uniswap.org/,1719351243732
velodrome-10-univ3,VELODROME UNIV3 (Optimism),112,,,0,,https://velodrome.io/,0
bitflyer,Bitflyer,114,,,0,,https://bitflyer.com/,1724870761533
bitbay,BitBay,115,,,0,,https://bitbay.net,0
zaif,Zaif,116,,,0,,https://zaif.jp/,1666250109990
zb,ZB,117,,,0,,https://www.zb.com/,1662264169320
uniswap,Uniswap (V2),100,,,0,,https://www.uniswap.io/,1719351138262
thorchain,THORChain,98,,,0,,https://thorchain.org/,1668435396236
therocktrading,The Rock Trading,97,,,0,,https://www.therocktrading.com,1676660097265
sushi,SushiSwap,87,,,0,,https://sushi.com/,1719351130344
